onset,duration,sub_number,trial_number,trial_color_UP,trial_color_chosen,trial_direction,trial_RT_colochoice,SON,SOFF,meanPos,stdPos,meanVelo,stdVelo,meanVSS,proba,color
6356.160416,1.341656293,1,57,0,1,1,0.407638081,-725,-208,0.1895934959349589,0.0306837066522755,3.0487804878048785,6.816431993738044,70.73170731707317,75,red
6358.901877,1.383294846,1,58,0,1,1,0.478358062,-767,-208,0.0590243902438995,0.0140671552524788,-0.2439024390243531,7.413100682962447,-61.91056910569104,75,red
6361.843502,1.383172191,1,59,1,0,-1,0.639503504,-767,-209,0.0504065040650386,0.0215675596024685,-1.3821138211382489,4.211586145668036,-14.227642276422769,75,green
6367.326499,1.524925863,1,61,1,0,-1,0.427263279,-908,-208,-0.0452032520325252,0.014290916212941,-1.341463414634128,7.853843691533905,-66.30081300813005,75,green
6373.259395,1.533349587,1,63,0,1,1,0.588297991,-917,-209,0.0256910569105636,0.0107193819342109,-0.7317073170731522,4.509081178491771,83.29268292682927,75,red
6376.301016,1.416522225,1,64,0,1,1,0.588251527,-800,-209,-0.0331707317073167,0.0185661581246651,1.2601626016260257,5.794358622270336,-80.6910569105691,75,red
6381.942264,1.500050283,1,66,1,0,1,0.145283917,-883,-208,0.1342276422764249,0.0179724453278771,0.975609756097598,6.491349358809663,21.951219512195124,75,green
6385.025412,1.441627465,1,67,1,1,-1,0.665963185,-825,-209,0.0520325203251998,0.0076793771642476,-0.3252032520325018,4.248696790391585,-23.57723577235772,75,red
6388.233668,1.466528315,1,68,0,1,1,0.849657729,-850,-209,-0.2299186991869909,0.0375845489676962,-3.292682926829232,5.720308101861598,65.12195121951221,75,red
6394.516557,1.4333548,1,70,1,1,1,0.614632856,-817,-209,0.0540650406504008,0.0176060847917258,1.2601626016260257,4.535026103803086,5.28455284552841,75,red
